class,precision,recall,f1,support
Apple___Apple_scab,1.0000,1.0000,1.0000,126
Apple___Black_rot,1.0000,1.0000,1.0000,124
Apple___Cedar_apple_rust,1.0000,1.0000,1.0000,55
Apple___healthy,0.9970,1.0000,0.9985,329
Blueberry___healthy,0.9967,0.9967,0.9967,300
Cherry_(including_sour)___Powdery_mildew,1.0000,1.0000,1.0000,210
Cherry_(including_sour)___healthy,1.0000,0.9942,0.9971,171
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9528,0.9806,0.9665,103
Corn_(maize)___Common_rust_,1.0000,0.9958,0.9979,239
Corn_(maize)___Northern_Leaf_Blight,0.9846,0.9746,0.9796,197
Corn_(maize)___healthy,0.9957,1.0000,0.9978,232
Grape___Black_rot,1.0000,1.0000,1.0000,236
Grape___Esca_(Black_Measles),1.0000,1.0000,1.0000,277
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0000,1.0000,1.0000,215
Grape___healthy,1.0000,1.0000,1.0000,85
Orange___Haunglongbing_(Citrus_greening),1.0000,1.0000,1.0000,1102
Peach___Bacterial_spot,1.0000,1.0000,1.0000,460
Peach___healthy,1.0000,1.0000,1.0000,72
"Pepper,_bell___Bacterial_spot",1.0000,1.0000,1.0000,199
"Pepper,_bell___healthy",1.0000,1.0000,1.0000,296
Potato___Early_blight,1.0000,1.0000,1.0000,200
Potato___Late_blight,0.9901,1.0000,0.9950,200
Potato___healthy,1.0000,0.9667,0.9831,30
Raspberry___healthy,1.0000,1.0000,1.0000,74
Soybean___healthy,1.0000,0.9980,0.9990,1018
Squash___Powdery_mildew,1.0000,1.0000,1.0000,367
Strawberry___Leaf_scorch,0.9955,1.0000,0.9978,222
Strawberry___healthy,1.0000,1.0000,1.0000,91
Tomato___Bacterial_spot,0.9976,0.9976,0.9976,425
Tomato___Early_blight,0.9660,0.9950,0.9803,200
Tomato___Late_blight,0.9947,0.9843,0.9895,382
Tomato___Leaf_Mold,1.0000,1.0000,1.0000,190
Tomato___Septoria_leaf_spot,0.9944,0.9972,0.9958,354
Tomato___Spider_mites Two-spotted_spider_mite,0.9970,0.9910,0.9940,335
Tomato___Target_Spot,0.9964,0.9786,0.9874,281
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9972,0.9991,0.9981,1071
Tomato___Tomato_mosaic_virus,1.0000,1.0000,1.0000,75
Tomato___healthy,0.9969,1.0000,0.9984,318
